,roman_cp,probability
143,"I,ii,I,V,ii","0.145,0.06,0.126,0.119,0.348"
144,"I,ii,I,V,I","0.145,0.06,0.126,0.119,0.304"
145,"I,ii,I,V,vi","0.145,0.06,0.126,0.119,0.174"
146,"I,ii,I,V,IV","0.145,0.06,0.126,0.119,0.087"
147,"I,ii,I,IV,I","0.145,0.06,0.126,0.084,0.471"
148,"I,ii,I,IV,V","0.145,0.06,0.126,0.084,0.294"
149,"I,ii,I,IV,ii","0.145,0.06,0.126,0.084,0.235"
150,"I,ii,I,iii,vi","0.145,0.06,0.126,0.06,0.462"
151,"I,ii,I,iii,IV","0.145,0.06,0.126,0.06,0.308"
152,"I,ii,I,vi,V","0.145,0.06,0.126,0.054,0.5"
153,"I,ii,I,V<sup>6</sup>,I","0.145,0.06,0.126,0.051,0.455"
154,"I,ii,I,V<sup>6</sup>,vi","0.145,0.06,0.126,0.051,0.364"
155,"I,ii,I,V<sup>6</sup>,iii<sup>6</sup>","0.145,0.06,0.126,0.051,0.182"
156,"I,ii,V,I,ii","0.145,0.06,0.094,0.299,0.357"
157,"I,ii,V,I,IV","0.145,0.06,0.094,0.299,0.19"
158,"I,ii,V,I,V","0.145,0.06,0.094,0.299,0.095"
159,"I,ii,V,I,V<sup>6</sup>","0.145,0.06,0.094,0.299,0.095"
160,"I,ii,V,I,I<sup>4</sup><sub>2</sub>","0.145,0.06,0.094,0.299,0.071"
161,"I,ii,V,IV,I","0.145,0.06,0.094,0.234,0.556"
162,"I,ii,V,IV,V","0.145,0.06,0.094,0.234,0.222"
163,"I,ii,V,IV,I<sup>6</sup>","0.145,0.06,0.094,0.234,0.056"
164,"I,ii,V,vi,V","0.145,0.06,0.094,0.205,0.4"
165,"I,ii,V,vi,I","0.145,0.06,0.094,0.205,0.333"
166,"I,ii,V,vi,ii<sup>7</sup>","0.145,0.06,0.094,0.205,0.067"
167,"I,ii,V,vi,ii","0.145,0.06,0.094,0.205,0.067"
168,"I,ii,V,V<sup>7</sup>,I","0.145,0.06,0.094,0.053,0.5"
169,"I,ii,I<sup>6</sup>,IV,V","0.145,0.06,0.052,0.79,0.288"
170,"I,ii,I<sup>6</sup>,IV,I<sup>6</sup>","0.145,0.06,0.052,0.79,0.247"
171,"I,ii,I<sup>6</sup>,IV,I","0.145,0.06,0.052,0.79,0.137"
172,"I,ii,I<sup>6</sup>,IV,I<sup>6</sup><sub>4</sub>","0.145,0.06,0.052,0.79,0.137"
173,"I,ii,I<sup>6</sup>,IV,V<sup>6</sup><sub>5</sub>/V","0.145,0.06,0.052,0.79,0.055"
174,"IV,I,V,vi,IV","0.142,0.289,0.44,0.44,0.839"
175,"IV,I,V,vi,V","0.142,0.289,0.44,0.44,0.076"
176,"IV,I,V,IV,I","0.142,0.289,0.44,0.229,0.781"
177,"IV,I,V,IV,V","0.142,0.289,0.44,0.229,0.095"
178,"IV,I,V,IV,vi","0.142,0.289,0.44,0.229,0.057"
179,"IV,I,V,I,IV","0.142,0.289,0.44,0.128,0.549"
180,"IV,I,V,I,V","0.142,0.289,0.44,0.128,0.233"
181,"IV,I,V,ii,IV","0.142,0.289,0.44,0.095,0.863"
182,"IV,I,IV,I,IV","0.142,0.289,0.159,0.552,0.618"
183,"IV,I,IV,I,V","0.142,0.289,0.159,0.552,0.186"
184,"IV,I,IV,V,IV","0.142,0.289,0.159,0.192,0.429"
185,"IV,I,IV,V,I","0.142,0.289,0.159,0.192,0.335"
186,"IV,I,IV,V,vi","0.142,0.289,0.159,0.192,0.143"
187,"IV,I,IV,vi,V","0.142,0.289,0.159,0.084,0.411"
188,"IV,I,IV,vi,IV","0.142,0.289,0.159,0.084,0.383"
189,"IV,I,vi,V,IV","0.142,0.289,0.112,0.401,0.891"
190,"IV,I,vi,IV,I","0.142,0.289,0.112,0.319,0.884"
191,"IV,I,vi,iii,IV","0.142,0.289,0.112,0.082,0.829"
192,"IV,I,vi,iii,vi","0.142,0.289,0.112,0.082,0.053"
193,"IV,I,vi,I,IV","0.142,0.289,0.112,0.071,0.545"
194,"IV,I,vi,I,vi","0.142,0.289,0.112,0.071,0.136"
195,"IV,I,vi,I,V","0.142,0.289,0.112,0.071,0.121"
196,"IV,I,vi,I,iii","0.142,0.289,0.112,0.071,0.106"
197,"IV,V,vi,IV,V","0.142,0.288,0.362,0.285,0.808"
198,"IV,V,vi,IV,I","0.142,0.288,0.362,0.285,0.075"
199,"IV,V,vi,V,IV","0.142,0.288,0.362,0.218,0.654"
200,"IV,V,vi,V,I","0.142,0.288,0.362,0.218,0.099"
201,"IV,V,vi,V,vi","0.142,0.288,0.362,0.218,0.097"
