,roman_cp,probability
727,"V,ii,I,vi,ii","0.137,0.064,0.153,0.149,0.053"
728,"V,ii,I,IV,V","0.137,0.064,0.153,0.099,0.64"
729,"V,ii,I,IV,I","0.137,0.064,0.153,0.099,0.08"
730,"V,ii,I,IV,iii","0.137,0.064,0.153,0.099,0.08"
731,"V,ii,I,ii,IV","0.137,0.064,0.153,0.089,0.364"
732,"V,ii,I,ii,I","0.137,0.064,0.153,0.089,0.273"
733,"V,ii,I,ii,V","0.137,0.064,0.153,0.089,0.273"
734,"V,ii,I,ii,vi","0.137,0.064,0.153,0.089,0.091"
735,"V,ii,V,ii,V","0.137,0.064,0.105,0.5,0.835"
736,"V,ii,V,I,vi","0.137,0.064,0.105,0.193,0.345"
737,"V,ii,V,I,V<sup>6</sup>","0.137,0.064,0.105,0.193,0.207"
738,"V,ii,V,I,I<sup>6</sup>","0.137,0.064,0.105,0.193,0.103"
739,"V,ii,V,I,V<sup>4</sup><sub>3</sub>/IV","0.137,0.064,0.105,0.193,0.069"
740,"V,ii,V,I,V","0.137,0.064,0.105,0.193,0.069"
741,"V,ii,V,I,ii","0.137,0.064,0.105,0.193,0.069"
742,"V,ii,V,I,V/vi","0.137,0.064,0.105,0.193,0.069"
743,"V,ii,V,vi,V","0.137,0.064,0.105,0.096,0.412"
744,"V,ii,V,vi,IV","0.137,0.064,0.105,0.096,0.353"
745,"V,ii,V,vi,ii","0.137,0.064,0.105,0.096,0.118"
746,"V,ii,V,IV,V","0.137,0.064,0.105,0.07,0.667"
747,"V,ii,V,IV,I","0.137,0.064,0.105,0.07,0.167"
748,"V,ii,iii,IV,V","0.137,0.064,0.072,0.77,0.648"
749,"V,ii,iii,IV,vi","0.137,0.064,0.072,0.77,0.154"
750,"V,ii,iii,IV,I","0.137,0.064,0.072,0.77,0.121"
751,"V,ii,iii,vi,I","0.137,0.064,0.072,0.089,0.4"
752,"V,ii,iii,vi,IV","0.137,0.064,0.072,0.089,0.2"
753,"V,ii,iii,vi,V","0.137,0.064,0.072,0.089,0.2"
